dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.16923076923076913,0.8446721605322732,0.13845712906014343,0.44711383538906024,0.0627263617645025,0.6110235910584244
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.09807692307692305,0.18448795936340295,0.5998476633380845,0.11249079466138286,0.22048707637972068,0.5311659773117934
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.15346153846153843,0.9982829428167045,0.12315882737484195,0.4111018902733886,0.04541685770355803,0.6757900848140628
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.005769230769230814,0.2468804846467021,0.042325952577260226,0.011171344455740256,0.19621214233057416,0.20966171138532852
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.23999999999999985,1.0,0.2071129219893006,0.6129455645681658,0.05036331305428442,0.6492822435122391
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,,,,,,
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p70,SSKISOMAP,closeness,70,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p80,SSKISOMAP,closeness,80,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p90,SSKISOMAP,closeness,90,,,,,,
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p100,SSKISOMAP,closeness,100,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p10,SSKISOMAP,eigenvector,10,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p20,SSKISOMAP,eigenvector,20,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p60,SSKISOMAP,eigenvector,60,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p70,SSKISOMAP,eigenvector,70,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p80,SSKISOMAP,eigenvector,80,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p90,SSKISOMAP,eigenvector,90,,,,,,
qsar-biodeg_norm,SSKISOMAP_eigenvector_centrality_p100,SSKISOMAP,eigenvector,100,,,,,,
qsar-biodeg_norm,KISOMAP,KISOMAP,,,0.7442307692307695,0.5200754816779452,0.8143646596535844,0.656462915187837,0.2246108952088465,0.3774758158845566
qsar-biodeg_norm,UMAP,UMAP,,,0.2697115384615385,0.4668742188145486,0.2102455714450038,0.2641335379267295,0.18299962445413526,0.23377301175339094
qsar-biodeg_norm,TSNE,TSNE,,,0.6780769230769231,0.34057146264875143,0.7635060980186342,0.5464409387883308,0.13627807148425067,0.14622647277308137
qsar-biodeg_norm,LLE,LLE,,,0.177403846153846,0.0,0.7720738093198976,0.06036373240445311,0.6916138039636731,0.0
qsar-biodeg_norm,SE,SE,,,0.555,0.4304522387107798,0.5477387708151176,0.48516582099792,0.17832302567653002,0.32134875702208016
qsar-biodeg_norm,KPCA,KPCA,,,0.2120192307692309,0.2593774800879,0.8689820323653576,0.1201479331294406,0.07395751774205335,0.9927852508547742
qsar-biodeg_norm,LDA,LDA,,,1.0,0.9985298199993583,1.0,1.0,8.466429742034507e-17,0.6714943769458893
qsar-biodeg_norm,PLS,PLS,,,1.0,0.9985298199993581,1.0,1.0,0.0,0.6714943769458893
cnae-9_norm,RAW,RAW,,,0.0,0.0,0.49041545540805326,0.0,0.0,1.0
cnae-9_norm,ISOMAP,ISOMAP,,,0.555731484261964,0.04402859424655376,0.2407216256372711,0.15774692049753697,1.0,0.13167127899256256
cnae-9_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.9137888673527886,0.01200052549926598,0.15911680703775213,0.5943777710478803,0.32059129896489186,0.16894371249079565
cnae-9_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.9137615680707598,0.004926842414500368,0.0,0.45829221980489604,0.5050108427354194,0.0
cnae-9_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.8905298790641807,0.006940365333432231,0.24611584162202488,0.5343405443529851,0.33616022912490406,0.0462047206684199
cnae-9_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.8148016707160602,0.0032527514160205955,0.040535306493351436,0.34247864638573294,0.3901181668354894,0.026461000711177764
cnae-9_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.8696186290300566,0.0037331493316014857,0.15144774938254504,0.4287473394220518,0.407275812700572,0.01235890417905096
cnae-9_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.901149299773416,0.00307548440036158,0.27554883670962466,0.5745872020381634,0.39040792092466375,0.037703516314667805
cnae-9_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.9275750047773744,0.005992553727319884,0.49286408386470054,0.6897738406398184,0.4397412582318941,0.06818180330387393
cnae-9_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.9427807048674621,0.011800245981502696,0.5311891816470149,0.6952557651744038,0.2909466473463377,0.12648960408845006
cnae-9_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.9401599737926893,0.009669609410762444,0.5593561688696361,0.6483383481101601,0.27934030478824423,0.15632032471440777
cnae-9_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.954655892550026,0.014363139769641466,0.5803696432975624,0.6865031240547043,0.27331671758230436,0.24388838136225718
cnae-9_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,,,,,,
cnae-9_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,,,,,,
