dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.10239999999999981,0.21197938986836834,0.059985919380233864,0.12411724433776793,0.3607477010718107,0.4852645846063875
hayes-roth_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,0.10239999999999981,0.16218709191261133,0.07071454972180123,0.04775197214896117,0.38790794583566074,0.4110262927953837
hayes-roth_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,0.1935999999999997,0.12679102023125635,0.1902033109485094,0.06930791092532963,0.37125418104529107,0.3374037905725558
hayes-roth_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,0.04000000000000037,0.1725782341281773,0.027962764265786137,0.0175765841415925,0.37911823645461895,0.4271553535776387
hayes-roth_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,0.27039999999999936,0.16247851030246388,0.18209890420129923,0.13436501718597427,0.4117626468306117,0.3763266605931385
hayes-roth_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,0.27039999999999936,0.18627943898047938,0.18209890420129923,0.13436501718597427,0.33082010306744825,0.43344705764938224
hayes-roth_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,0.4623999999999993,0.18628659095603614,0.24932520185615914,0.28006244924554335,0.381450647661874,0.44062814219662433
hayes-roth_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,1.0,0.14907768931388063,0.5816150544300911,0.6134590471500255,0.3259089500697021,0.4005171184961007
hayes-roth_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,0.0,0.13095245132236444,0.014672086392834564,0.0033845800358882384,0.47404987219553385,0.38842720406272196
hayes-roth_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,0.4623999999999993,0.15609630185977738,0.38284424589871074,0.2100163602922643,0.2701983365716917,0.436018131189934
hayes-roth_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,0.025600000000000143,0.22637986069674476,0.0178365211434166,0.03509301301702362,0.3425459154927489,0.5063703197717581
hayes-roth_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,0.014400000000000225,0.14655982749260857,0.009794499684616547,0.005777832376768657,0.4342127995955795,0.35791767706648425
hayes-roth_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,0.23039999999999977,0.16512324063354225,0.11662821061448247,0.14476825920012346,0.3603654516451043,0.4187131077143405
hayes-roth_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,0.05760000000000013,0.14207840493340054,0.06441383098686702,0.09989349596043405,0.4189295117351621,0.3909861656273132
hayes-roth_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,0.001599999999999769,0.10055612076595094,0.0,0.0027875362890264193,0.47184580888560446,0.347893495454659
hayes-roth_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,0.025600000000000143,0.1846199912489907,0.02600054463968387,0.0077462383892168045,0.30618933850105495,0.46156501970090813
hayes-roth_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,0.1935999999999997,0.1287939054560029,0.09603556609323284,0.12359840152621585,0.46418758648135094,0.3674157551733575
hayes-roth_norm,SSKISOMAP_closeness_centrality_p70,SSKISOMAP,closeness,70,0.001599999999999769,0.16087445381384052,0.02049044120910328,0.0008990722026724752,0.4344011969215684,0.41851142536132097
hayes-roth_norm,SSKISOMAP_closeness_centrality_p80,SSKISOMAP,closeness,80,0.10239999999999981,0.13095348682163047,0.13961242983951752,0.02460726785192465,0.45596863371503754,0.38243260480358815
hayes-roth_norm,SSKISOMAP_closeness_centrality_p90,SSKISOMAP,closeness,90,0.639999999999999,0.23927107302822875,0.37119166025997274,0.37413837795557686,0.2770671230144205,0.5375505766219997
hayes-roth_norm,SSKISOMAP_closeness_centrality_p100,SSKISOMAP,closeness,100,0.4096,0.26196076415323577,0.2189036280413031,0.24880902815777817,0.2956789505077203,0.5907046241475592
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p10,SSKISOMAP,eigenvector,10,0.36000000000000026,0.1639919380029892,0.1903966287565525,0.21974306937306803,0.35370026297502427,0.406113444429195
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p20,SSKISOMAP,eigenvector,20,0.0,0.16200267164347532,0.001001247758394202,0.0006133705546609812,0.37850705617431846,0.43436297319777534
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,0.10239999999999981,0.1367475735240358,0.05191627803674023,0.11153048224013894,0.4239273401916304,0.4011526274023349
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,0.1600000000000007,0.11233151779477209,0.07747609570673208,0.10423434182959765,0.41454122956470285,0.36499849911067117
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,0.001599999999999769,0.1107988814021146,0.13290141745954118,0.0466528850023933,0.4765267025112528,0.3106304765629587
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p60,SSKISOMAP,eigenvector,60,0.07839999999999943,0.14616411441959193,0.03416298954560717,0.07347698544560838,0.37498503012924284,0.4586140757866044
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p70,SSKISOMAP,eigenvector,70,0.006399999999999844,0.07653244855990218,0.14839293546993748,0.011758399334491293,0.5562953945187251,0.3143074161920402
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p80,SSKISOMAP,eigenvector,80,0.025600000000000143,0.19365349713798308,0.050369303981918793,0.05821393947517284,0.3053868488678758,0.5011534791389145
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p90,SSKISOMAP,eigenvector,90,0.07839999999999943,0.2700543060833581,0.03280820005441866,0.06461443635063698,0.290316861662457,0.5515014139114399
hayes-roth_norm,SSKISOMAP_eigenvector_centrality_p100,SSKISOMAP,eigenvector,100,0.04000000000000037,0.14541832867440682,0.027962764265786137,0.0175765841415925,0.41916361741848807,0.37699938117613685
hayes-roth_norm,KISOMAP,KISOMAP,,,0.36000000000000026,0.1405292330536836,0.6889649148195548,0.25173063452756905,0.5314007001545724,0.3714557858819715
hayes-roth_norm,UMAP,UMAP,,,0.04000000000000037,1.0,0.17661442909548455,0.0,0.0,1.0
hayes-roth_norm,TSNE,TSNE,,,0.4096,0.06373619167972723,0.19592741834243108,0.27823714593938287,0.6070978964439542,0.1985370001902737
hayes-roth_norm,LLE,LLE,,,0.36000000000000026,0.02258781339291159,1.0,0.04045605109165834,0.478236699119222,0.8111475407842759
hayes-roth_norm,SE,SE,,,0.07839999999999943,0.13138811804276038,0.04498096472264729,0.04222980104743672,0.48198625649589183,0.3585011407177222
hayes-roth_norm,KPCA,KPCA,,,0.014400000000000225,0.08587417390836459,0.016617297294544905,0.003560515514462856,0.5294956401988224,0.2364058081851851
hayes-roth_norm,LDA,LDA,,,0.36000000000000026,0.7285140654674535,0.43847776193992416,1.0,0.07185468915499323,0.8466448594251805
hayes-roth_norm,PLS,PLS,,,0.36000000000000026,0.7285140654674535,0.43847776193992416,1.0,0.07185468915499327,0.8466448594240003
newton_hema_norm,RAW,RAW,,,0.21556122448979612,0.14022264345322438,0.5346107916738517,0.2288755731421315,0.4192288466240417,0.4482621527512835
newton_hema_norm,ISOMAP,ISOMAP,,,0.005102040816325989,0.1094207856871264,0.5111675314704254,0.0058329664713269724,0.44879031740597375,0.39326648144372395
newton_hema_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.001275510204081153,0.1948034211080824,0.007526410433215101,0.0008085951491235326,0.40734519215780474,0.4062908346685501
newton_hema_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.005102040816325989,0.16773865011843148,0.021561633050404944,0.00327025775679954,0.41573037693202447,0.38667510117939413
newton_hema_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.020408163265306024,0.1815431141526054,0.040117633858507355,0.013220565429311498,0.4058778264410974,0.40168784970108795
newton_hema_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.06249999999999992,0.1669287529699927,0.0815046720586457,0.04134869657002681,0.42419924876095766,0.35738725284667544
newton_hema_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.020408163265306024,0.20102306430092617,0.040117633858507355,0.013220565429311498,0.38828120128319815,0.42745191088385043
newton_hema_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.0816326530612241,0.19031222865421601,0.09885037176956306,0.05446438234514547,0.3952945721202389,0.3904768636385121
newton_hema_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.0816326530612241,0.19626117216613215,0.09885037176956306,0.05446438234514547,0.3893407279806642,0.3990212390466694
newton_hema_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.0,0.06037735527374489,0.8048944133617998,0.0,0.09388586497700814,0.2733410863640546
newton_hema_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.0816326530612241,0.1988920223887164,0.09885037176956306,0.05446438234514547,0.3850416296249212,0.40315114907597416
